Rx 0.260217 2 1 3 1054 475673
Rx 0.260217 2 1 3 1054 455673
Rx 0.260217 2 1 3 1054 435673
Rx 0.260317 2 1 3 1054 515673
Rx 0.260317 2 1 3 1054 495673
Rx 0.260317 2 1 3 1054 475673
Rx 0.260317 2 1 3 1054 455673
Rx 0.260317 2 1 3 1054 435673
Rx 0.260417 2 1 3 1054 515673
Rx 0.260417 2 1 3 1054 495673
Rx 0.260417 2 1 3 1054 475673
Rx 0.260417 2 1 3 1054 455673
Rx 0.260417 2 1 3 1054 435673
Rx 0.260517 2 1 3 1054 515673
Rx 0.260517 2 1 3 1054 495673
Rx 0.260517 2 1 3 1054 475673
Rx 0.260517 2 1 3 1054 455673
Rx 0.260517 2 1 3 1054 435673
Rx 0.260617 2 1 3 1054 515673
Rx 0.260617 2 1 3 1054 495673
Rx 0.260617 2 1 3 1054 475673
Rx 0.260617 2 1 3 1054 455673
Rx 0.260617 2 1 3 1054 435673
Rx 0.260717 2 1 3 1054 515673
Rx 0.260717 2 1 3 1054 495673
Rx 0.260717 2 1 3 1054 475673
Rx 0.260717 2 1 3 1054 455673
Rx 0.260717 2 1 3 1054 435673
Rx 0.260817 2 1 3 1054 515673
Rx 0.260817 2 1 3 1054 495673
Rx 0.260817 2 1 3 1054 475673
Rx 0.260817 2 1 3 1054 455673
Rx 0.260817 2 1 3 1054 435673
Rx 0.260917 2 1 3 1054 515673
Rx 0.260917 2 1 3 1054 495673
Rx 0.260917 2 1 3 1054 475673
Rx 0.260917 2 1 3 1054 455673
Rx 0.260917 2 1 3 1054 435673
Rx 0.261017 2 1 3 1054 515673
Rx 0.261017 2 1 3 1054 495673
Rx 0.261017 2 1 3 1054 475673
Rx 0.261017 2 1 3 1054 455673
Rx 0.261017 2 1 3 1054 435673
Rx 0.261117 2 1 3 1054 515673
Rx 0.261117 2 1 3 1054 495673
Rx 0.261117 2 1 3 1054 475673
Rx 0.261117 2 1 3 1054 455673
Rx 0.261117 2 1 3 1054 435673
Rx 0.261217 2 1 3 1054 515673
Rx 0.261217 2 1 3 1054 495673
Rx 0.261217 2 1 3 1054 475673
Rx 0.261217 2 1 3 1054 455673
Rx 0.261217 2 1 3 1054 435673
Rx 0.261317 2 1 3 1054 515673
Rx 0.261317 2 1 3 1054 495673
Rx 0.261317 2 1 3 1054 475673
Rx 0.261317 2 1 3 1054 455673
Rx 0.261317 2 1 3 1054 435673
Rx 0.261417 2 1 3 1054 515673
Rx 0.261417 2 1 3 1054 495673
Rx 0.261417 2 1 3 1054 475673
Rx 0.261417 2 1 3 1054 455673
Rx 0.261417 2 1 3 1054 435673
Rx 0.261517 2 1 3 1054 515673
Rx 0.261517 2 1 3 1054 495673
Rx 0.261517 2 1 3 1054 475673
Rx 0.261517 2 1 3 1054 455673
Rx 0.261517 2 1 3 1054 435673
Rx 0.261617 2 1 3 1054 515673
Rx 0.261617 2 1 3 1054 495673
Rx 0.261617 2 1 3 1054 475673
Rx 0.261617 2 1 3 1054 455673
Rx 0.261617 2 1 3 1054 435673
Rx 0.261717 2 1 3 1054 515673
Rx 0.261717 2 1 3 1054 495673
Rx 0.261717 2 1 3 1054 475673
Rx 0.261717 2 1 3 1054 455673
Rx 0.261717 2 1 3 1054 435673
Rx 0.261817 2 1 3 1054 515673
Rx 0.261817 2 1 3 1054 495673
Rx 0.261817 2 1 3 1054 475673
Rx 0.261817 2 1 3 1054 455673
Rx 0.261817 2 1 3 1054 435673
Rx 0.261917 2 1 3 1054 515673
Rx 0.261917 2 1 3 1054 495673
Rx 0.261917 2 1 3 1054 475673
Rx 0.261917 2 1 3 1054 455673
Rx 0.261917 2 1 3 1054 435673
Rx 0.262017 2 1 3 1054 515673
Rx 0.262017 2 1 3 1054 495673
Rx 0.262017 2 1 3 1054 475673
Rx 0.262017 2 1 3 1054 455673
Rx 0.262017 2 1 3 1054 435673
Rx 0.262117 2 1 3 1054 515673
Rx 0.262117 2 1 3 1054 495673
Rx 0.262117 2 1 3 1054 475673
Rx 0.262117 2 1 3 1054 455673
Rx 0.262117 2 1 3 1054 435673
Rx 0.262217 2 1 3 1054 515673
Rx 0.262217 2 1 3 1054 495673
Rx 0.262217 2 1 3 1054 475673
Rx 0.262217 2 1 3 1054 455673
Rx 0.262217 2 1 3 1054 435673
Rx 0.262317 2 1 3 1054 515673
Rx 0.262317 2 1 3 1054 495673
Rx 0.262317 2 1 3 1054 475673
Rx 0.262317 2 1 3 1054 455673
Rx 0.262317 2 1 3 1054 435673
Rx 0.262417 2 1 3 1054 515673
Rx 0.262417 2 1 3 1054 495673
Rx 0.262417 2 1 3 1054 475673
Rx 0.262417 2 1 3 1054 455673
Rx 0.262417 2 1 3 1054 435673
Rx 0.262517 2 1 3 1054 515673
Rx 0.262517 2 1 3 1054 495673
Rx 0.262517 2 1 3 1054 475673
Rx 0.262517 2 1 3 1054 455673
Rx 0.262517 2 1 3 1054 435673
Rx 0.262617 2 1 3 1054 515673
Rx 0.262617 2 1 3 1054 495673
Rx 0.262617 2 1 3 1054 475673
Rx 0.262617 2 1 3 1054 455673
Rx 0.262617 2 1 3 1054 435673
Rx 0.262717 2 1 3 1054 515673
Rx 0.262717 2 1 3 1054 495673
Rx 0.262717 2 1 3 1054 475673
Rx 0.262717 2 1 3 1054 455673
Rx 0.262717 2 1 3 1054 435673
Rx 0.262817 2 1 3 1054 515673
Rx 0.262817 2 1 3 1054 495673
Rx 0.262817 2 1 3 1054 475673
Rx 0.262817 2 1 3 1054 455673
Rx 0.262817 2 1 3 1054 435673
Rx 0.262917 2 1 3 1054 515673
Rx 0.262917 2 1 3 1054 495673
Rx 0.262917 2 1 3 1054 475673
Rx 0.262917 2 1 3 1054 455673
Rx 0.262917 2 1 3 1054 435673
Rx 0.263017 2 1 3 1054 515673
Rx 0.263017 2 1 3 1054 495673
Rx 0.263017 2 1 3 1054 475673
Rx 0.263017 2 1 3 1054 455673
Rx 0.263017 2 1 3 1054 435673
Rx 0.263117 2 1 3 1054 515673
Rx 0.263117 2 1 3 1054 495673
Rx 0.263117 2 1 3 1054 475673
Rx 0.263117 2 1 3 1054 455673
Rx 0.263117 2 1 3 1054 435673
Rx 0.263217 2 1 3 1054 515673
Rx 0.263217 2 1 3 1054 495673
Rx 0.263217 2 1 3 1054 475673
Rx 0.263217 2 1 3 1054 455673
Rx 0.263217 2 1 3 1054 435673
Rx 0.263317 2 1 3 1054 515673
Rx 0.263317 2 1 3 1054 495673
